"ecotypeid"	"accession_name"	"FT10"	"FT16"
9503	"11C1"	64.0	53.5
6680	"ANH-1"	99.25	92.33333333
9911	"ARGE-1-15"	66.0	44.5
9927	"ARR-17"	87.75	73.25
7000	"Aa-0"	78.0	54.0
6986	"Abd-0"	61.5	43.75
9609	"Adam-1"	74.5	51.0
6897	"Ag-0"	68.0	66.25
9942	"Agu-1"	65.6666666667	110.6666667
9646	"Aiell-1"	62.5	55.25
9606	"Aitba-1"	63.0	41.0
9939	"Aitba-2"	75.25	60.75
6987	"Ak-1"	69.0	47.75
991	"Ale-Stenar-41-1"	110.5	106.75
992	"Ale-Stenar-44-4"	116.0	100.0
997	"Ale-Stenar-56-14"	101.25	87.5
1002	"Ale-Stenar-64-24"	102.75	86.25
1158	"Aledal-6-49"	98.75	88.0
8230	"Algutsrum"	110.3333333333	103.0
6989	"Alst-1"	78.25	61.0
9774	"Alt-1"	68.0	43.0
9758	"Altai-5"	71.25	73.0
9970	"Altenb-2"	86.5	81.75
6990	"Amel-1"	79.0	60.25
6898	"An-1"	57.5	34.25
6992	"Ang-0"	68.0	54.25
9980	"Angel-1"	68.5	60.5
9981	"Angit-1"	69.25	55.5
9759	"Anz-0"	61.5	58.5
9982	"Apost-1"	85.5	79.25
5830	"App1-12"	97.75	75.33333333
5831	"App1-14"	99.5	93.0
5832	"App1-16"	88.5	87.33333333
6997	"Appt-1"	81.0	56.0
10015	"Ara-1"	69.75	51.25
9935	"BAU-15"	79.25	73.75
9928	"BEZ-9"	83.5	77.0
9813	"BI-4"	65.75	45.5
9910	"BRI-2"	70.0	43.5
7014	"Ba-1"	81.5	74.0
7002	"Baa-1"	80.25	59.0
9778	"Bach-7"	71.5	49.25
9796	"Bach2-1"	73.5	46.0
9779	"Bai-10"	63.25	44.66666667
9988	"Bak-2"	95.5	112.3333333
9121	"Bak-5"	105.25	102.0
9613	"Balan-1"	81.75	71.66666667
9332	"Bar 1"	114.25	129.0
9647	"Basen-1"	67.75	55.0
9619	"Basta-1"	77.3333333333	83.0
9620	"Basta-2"	89.75	74.33333333
9621	"Basta-3"	92.0	90.5
7028	"Bch-1"	57.5	40.25
7013	"Bd-0"	63.0	38.75
9730	"Bela-1"	89.0	97.0
9733	"Bela-2"	80.0	83.75
9735	"Bela-4"	85.5	74.0
7008	"Benk-1"	95.5	95.0
9775	"Berg-1"	60.0	44.25
9622	"Bijisk-4"	92.0	81.66666667
9761	"Bik-1"	65.25	58.0
6900	"Bil-5"	116.0	121.5
6901	"Bil-7"	95.5	117.0
9648	"Bisig-1"	60.0	61.0
9649	"Bivio-1"	76.25	67.25
7025	"Bl-1"	71.5	52.66666667
8264	"Bla-1"	65.5	63.5
10004	"Bolin-1"	81.75	79.0
7026	"Boot-1"	69.0	45.5
5837	"Bor-1"	80.5	55.25
6903	"Bor-4"	81.5	56.25
428	"Borky1"	75.75	59.0
9957	"Borsk-2"	83.75	85.0
9971	"Bozen-1.1"	70.5	61.0
9972	"Bozen-1.2"	63.0	58.75
6904	"Br-0"	72.25	65.33333333
9738	"Bran-1"	79.0	73.75
8231	"Brö1-6"	100.75	108.6666667
1061	"Brösarp-11-135"	97.75	94.75
1062	"Brösarp-15-138"	94.0	68.25
1063	"Brösarp-21-140"	84.0	64.25
7003	"Bs-1"	71.75	51.0
7031	"Bsch-0"	78.25	47.25
7036	"Bu-0"	67.75	50.5
7033	"Buckhorn Pass"	78.75	76.0
7058	"Bur-0"	87.25	66.0
8256	"Bå1-2"	73.25	45.25
8259	"Bå5-1"	88.0	65.5
9336	"Bön 1"	84.0	66.75
9339	"Böt 1"	104.5	116.5
9937	"CATS-6"	67.0	47.75
932	"CHA-41"	78.0	68.75
6907	"CIBC-17"	72.0	60.25
6908	"CIBC-5"	66.0	59.0
6744	"CSHL-5"	63.25	47.25
88	"CYR"	61.25	50.5
7062	"Ca-0"	62.25	38.25
7061	"Cal-0"	87.25	64.0
5720	"Cal-2"	92.0	63.33333333
7063	"Can-0"	72.25	51.0
9679	"Castelfed-1-195"	69.25	79.75
9680	"Castelfed-1-196"	62.75	59.33333333
9681	"Castelfed-1-197"	66.25	92.25
9682	"Castelfed-1-198"	77.75	74.75
9683	"Castelfed-1-199"	64.0	71.75
9684	"Castelfed-2-200"	84.0	89.5
9685	"Castelfed-2-201"	84.75	89.75
9686	"Castelfed-2-202"	84.3333333333	88.0
9687	"Castelfed-2-203"	88.5	83.33333333
9689	"Castelfed-3-205"	67.75	83.0
9690	"Castelfed-3-206"	75.5	81.66666667
9691	"Castelfed-3-207"	74.0	72.75
9692	"Castelfed-3-208"	72.0	70.75
9693	"Castelfed-3-209"	68.5	75.0
9694	"Castelfed-4-210"	76.5	74.25
9695	"Castelfed-4-211"	103.5	84.5
9974	"Castelfed-4-212"	94.0	93.5
9975	"Castelfed-4-213"	79.25	82.33333333
9696	"Castelfed-4-214"	77.5	76.75
9943	"Cdm-0"	74.0	61.5
7068	"Cerv-1"	63.75	56.0
9624	"Chaba-2"	79.5	74.33333333
7071	"Chat-1"	64.25	45.0
7072	"Chi-0"	70.25	62.0
9705	"Choto-1"	71.3333333333	67.0
9661	"Cimin-1"	55.25	42.0
9983	"Ciste-1"	63.0	58.5
9984	"Ciste-2"	65.75	56.0
5726	"Cnt-1"	74.0	48.0
5726	"Cnt-1"	74.0	66.66666667
5726	"Cnt-1"	68.3333333333	48.0
5726	"Cnt-1"	68.3333333333	66.66666667
7064	"Cnt-1"	74.0	48.0
7064	"Cnt-1"	74.0	66.66666667
7064	"Cnt-1"	68.3333333333	48.0
7064	"Cnt-1"	68.3333333333	66.66666667
7081	"Co"	58.5	42.5
7077	"Co-1"	54.5	44.33333333
6909	"Col-0"	70.5	38.0
7092	"Com-1"	68.0	54.25
10005	"Copac-1"	76.6666666667	67.25
7067	"Ct-1"	58.75	42.25
6911	"Cvi-0"	62.75	47.25
9920	"DIR-9"	64.0	48.66666667
7460	"Da(1)-12"	75.0	37.0
7094	"Da-0"	67.25	43.25
7419	"Db-1"	69.0	43.25
8233	"Dem-4"	75.5	69.25
7096	"Di-G"	65.5	40.25
766	"Dja-1"	63.5	41.75
9343	"Dju-1"	94.5	88.0
7102	"Do-0"	87.25	71.0
10018	"Dobra-1"	90.0	81.33333333
9697	"Dolen-1"	77.5	63.0
9700	"Dolna-1-10"	80.0	81.0
9711	"Dolna-1-39"	75.0	82.5
9712	"Dolna-1-40"	77.0	78.0
9944	"Don-0"	75.75	68.0
9706	"Dospa-1"	95.25	78.66666667
410	"Doubravnik7"	76.0	65.25
7106	"Dr-0"	76.5	44.5
7103	"Dra-0"	62.25	36.75
5865	"Dra1-4"	109.75	101.0
8283	"Dra3-1"	84.25	82.66666667
8284	"DraII-1"	83.25	76.0
5874	"DraII-6"	78.0	69.25
8285	"DraIII-1"	66.5	51.66666667
5893	"DraIV 1-11"	73.75	64.25
5890	"DraIV 1-8"	78.25	55.25
5907	"DraIV 2-9"	66.5	48.5
5921	"DraIV 3-7"	82.5	55.75
5950	"DraIV 5-12"	81.25	65.5
5984	"DraIV 6-13"	66.75	41.75
5993	"DraIV 6-22"	82.5	64.75
424	"Draha2"	83.25	68.25
6008	"Duk"	73.5	43.0
7107	"Durh-1"	67.25	50.75
9352	"Död 2"	127.75	134.3333333
9353	"Död 3"	126.0	134.0
9908	"ESP-1-11"	65.25	46.5
6009	"Eden-1"	103.0	113.5
6011	"Eden-6"	97.3333333333	112.5
6012	"Eden-7"	102.0	125.0
6013	"Eden-9"	93.75	93.0
9298	"Edi-1"	60.0	45.5
6016	"Eds-1"	87.3333333333	83.5
6017	"Eds-9"	96.5	104.0
6915	"Ei-2"	76.5	56.75
9369	"EkS 2"	81.75	71.25
7117	"El-0"	58.0	36.5
7109	"Ema-1"	60.75	45.75
8290	"En-1"	63.25	44.25
7119	"En-2"	65.5	41.0
7120	"En-D"	62.5	42.75
9725	"Epidauros-1"	61.25	56.5
7125	"Er-0"	69.25	42.75
9784	"Erg2-6"	60.25	43.5
7126	"Es-0"	95.5	97.25
7127	"Est"	59.75	45.5
7130	"Et-0"	91.6666666667	78.25
9762	"Etna-2"	95.5	72.75
9921	"FOR-23"	64.5	48.25
9726	"Faneronemi-3"	67.0	56.5
9941	"Fei-0"	70.0	42.5
9814	"Fell1-10"	71.5	48.33333333
9780	"Fell2-4"	72.25	45.75
9776	"Fell3-7"	65.25	57.5
7138	"Fi-0"	85.5	68.5
9651	"Filet-1"	64.0	49.66666667
8422	"Fjä1-1"	116.75	116.25
6020	"Fjä1-5"	94.0	87.25
6021	"Fjä2-4"	94.25	87.0
6023	"Fly2-1"	93.75	89.25
6024	"Fly2-2"	106.75	116.0
9380	"FlyA 3"	101.0	98.25
5741	"For-2"	97.25	88.5
7133	"Fr-2"	76.0	46.25
9382	"Fri 2"	99.0	110.6666667
9383	"Fri 3"	99.3333333333	103.0
9743	"Furni-1"	79.5	75.0
9371	"FäL 1"	129.25	145.0
9909	"GEN-8"	87.0	57.0
6919	"Ga-0"	76.75	94.0
9962	"Galdo-1"	78.0	71.75
7161	"Gd-1"	61.25	39.33333333
8297	"Ge-0"	85.75	79.0
9125	"Geg-14"	74.0	69.25
7143	"Gel-1"	83.0	44.5
7147	"Gie-0"	74.5	52.66666667
9653	"Giffo-1"	59.5	52.5
9777	"Gn-1"	66.5	43.5
9790	"Gn2-3"	66.75	41.75
9698	"Goced-1"	81.0	74.5
9314	"Gol-2"	74.25	60.0
6920	"Got-22"	86.75	93.75
430	"Gr-1"	92.3333333333	55.0
7158	"Gr-5"	63.3333333333	47.75
9645	"Gradi-1"	77.5	66.25
7160	"Gre-0"	72.25	66.5
9714	"Grivo-1"	80.75	82.33333333
9722	"Groch-1"	99.5	108.0
9386	"Grön 12"	115.5	107.75
