"ecotypeid"	"srr"
763	"SRR1945463"
765	"SRR1945464"
992	"SRR1945477"
997	"SRR1945478"
88	"SRR1945435"
9651	"SRR1946236"
9648	"SRR1946234"
9649	"SRR1946235"
9647	"SRR1946233"
9645	"SRR1946231"
9646	"SRR1946232"
9644	"SRR1946230"
9642	"SRR1946228"
9643	"SRR1946229"
9641	"SRR1946227"
9640	"SRR1946226"
9639	"SRR1946225"
9638	"SRR1946224"
9636	"SRR1946222"
9635	"SRR1946221"
9634	"SRR1946220"
9637	"SRR1946223"
9633	"SRR1946219"
9632	"SRR1946218"
9631	"SRR1946217"
9628	"SRR1946214"
9565	"SRR1946162"
9567	"SRR1946163"
9568	"SRR1946164"
9569	"SRR1946165"
9571	"SRR1946166"
9573	"SRR1946167"
9576	"SRR1946169"
9577	"SRR1946170"
9578	"SRR1946171"
9579	"SRR1946172"
9581	"SRR1946173"
9582	"SRR1946174"
9583	"SRR1946175"
9584	"SRR1946176"
9585	"SRR1946177"
9587	"SRR1946179"
9588	"SRR1946180"
9589	"SRR1946181"
9590	"SRR1946182"
9591	"SRR1946183"
9592	"SRR1946184"
9593	"SRR1946185"
9594	"SRR1946186"
9595	"SRR1946187"
9596	"SRR1946188"
9597	"SRR1946189"
9598	"SRR1946190"
9599	"SRR1946191"
9600	"SRR1946192"
9601	"SRR1946193"
9602	"SRR1946194"
9606	"SRR1946195"
9607	"SRR1946196"
9608	"SRR1946197"
9609	"SRR1946198"
9610	"SRR1946199"
9611	"SRR1946200"
9612	"SRR1946201"
9613	"SRR1946202"
9615	"SRR1946203"
9616	"SRR1946204"
9617	"SRR1946205"
9619	"SRR1946206"
9620	"SRR1946207"
9621	"SRR1946208"
9622	"SRR1946209"
9624	"SRR1946210"
9625	"SRR1946211"
9626	"SRR1946212"
9627	"SRR1946213"
9629	"SRR1946215"
9630	"SRR1946216"
8247	"SRR1945981"
8249	"SRR1945982"
8256	"SRR1945983"
8259	"SRR1945985"
8264	"SRR1945986"
8283	"SRR1945987"
8284	"SRR1945988"
8285	"SRR1945989"
8290	"SRR1945990"
8297	"SRR1945991"
8306	"SRR1945992"
8307	"SRR1945993"
8311	"SRR1945994"
8312	"SRR1945995"
8326	"SRR1945996"
8334	"SRR1945997"
8335	"SRR1945998"
8337	"SRR1945999"
8343	"SRR1946000"
8351	"SRR1946001"
8354	"SRR1946002"
8357	"SRR1946003"
8365	"SRR1946004"
8366	"SRR1946005"
8369	"SRR1946006"
8376	"SRR1946007"
8386	"SRR1946008"
8387	"SRR1946009"
8419	"SRR1946010"
8420	"SRR1946011"
8422	"SRR1946012"
8424	"SRR1946013"
8426	"SRR1946014"
9057	"SRR1946021"
9058	"SRR1946022"
9067	"SRR1946023"
9069	"SRR1946024"
9070	"SRR1946025"
9075	"SRR1946026"
9078	"SRR1946027"
9079	"SRR1946028"
9081	"SRR1946029"
9084	"SRR1946030"
9085	"SRR1946031"
9089	"SRR1946032"
9091	"SRR1946033"
9095	"SRR1946034"
9099	"SRR1946035"
9100	"SRR1946036"
9102	"SRR1946037"
9103	"SRR1946038"
9104	"SRR1946039"
9105	"SRR1946040"
9106	"SRR1946041"
9111	"SRR1946042"
9113	"SRR1946043"
9114	"SRR1946044"
9115	"SRR1946045"
9121	"SRR1946046"
9125	"SRR1946047"
9128	"SRR1946048"
9130	"SRR1946049"
9131	"SRR1946050"
9133	"SRR1946051"
9134	"SRR1946052"
9298	"SRR1946053"
9312	"SRR1946054"
9314	"SRR1946055"
9321	"SRR1946056"
9323	"SRR1946057"
9332	"SRR1946058"
9336	"SRR1946059"
9339	"SRR1946060"
9343	"SRR1946061"
9535	"SRR1946134"
9536	"SRR1946135"
9539	"SRR1946137"
9540	"SRR1946138"
9541	"SRR1946139"
9542	"SRR1946140"
9543	"SRR1946141"
9544	"SRR1946142"
9545	"SRR1946143"
9547	"SRR1946145"
9549	"SRR1946147"
9550	"SRR1946148"
9551	"SRR1946149"
9553	"SRR1946151"
9554	"SRR1946152"
9555	"SRR1946153"
9556	"SRR1946154"
9557	"SRR1946155"
9558	"SRR1946156"
9559	"SRR1946157"
9560	"SRR1946158"
9561	"SRR1946159"
9562	"SRR1946160"
7372	"SRR1945915"
7373	"SRR1945916"
7377	"SRR1945917"
7378	"SRR1945918"
7382	"SRR1945919"
7383	"SRR1945920"
7384	"SRR1945921"
7387	"SRR1945922"
7394	"SRR1945923"
7396	"SRR1945924"
7404	"SRR1945925"
7411	"SRR1945926"
7413	"SRR1945927"
7415	"SRR1945928"
7416	"SRR1945929"
7418	"SRR1945931"
7419	"SRR1945932"
7424	"SRR1945933"
7427	"SRR1945934"
7430	"SRR1945935"
7460	"SRR1945936"
7461	"SRR1945937"
7471	"SRR1945938"
7477	"SRR1945940"
7514	"SRR1945941"
7515	"SRR1945942"
7516	"SRR1945943"
7517	"SRR1945944"
7520	"SRR1945945"
7521	"SRR1945946"
7523	"SRR1945947"
7525	"SRR1945948"
7717	"SRR1945953"
